Wavelength nm,Sample 1,Sample 2,Sample3,Sample 4
631.5,2.11,1.904,2.242,3.02
632,2.043,1.774,2.221,3.137
632.5,1.993,1.776,2.293,3.349
633,1.825,1.602,2.218,3.378
633.5,1.469,1.266,2.023,3.27
634,1.083,0.969,1.745,3.082
634.5,0.756,0.67,1.457,2.823
635,0.52,0.461,1.181,2.5
635.5,0.513,0.402,1.15,2.366
636,0.648,0.53,1.179,2.333
636.5,0.816,0.786,1.268,2.378
637,1.157,1.082,1.525,2.622
637.5,1.467,1.467,1.746,2.841
638,1.699,1.716,1.923,2.998
638.5,1.713,1.791,2.004,3.034
639,1.611,1.675,1.869,2.911
639.5,1.313,1.358,1.583,2.564
640,0.787,0.824,1.126,2.007
640.5,0.414,0.438,0.806,1.636
641,0.196,0.263,0.615,1.436
641.5,-0.011,0.061,0.42,1.287
642,-0.067,-0.111,0.361,1.26
642.5,-0.124,-0.148,0.323,1.312
643,-0.147,-0.28,0.253,1.282
643.5,-0.176,-0.377,0.237,1.252
644,-0.33,-0.607,0.013,0.988
644.5,-0.449,-0.685,-0.223,0.782
645,-0.52,-0.805,-0.459,0.558
645.5,-0.329,-0.596,-0.489,0.504
646,-0.195,-0.375,-0.422,0.476
646.5,-0.125,-0.228,-0.4,0.526
647,0.029,-0.036,-0.126,0.791
647.5,0.212,0.296,0.216,1.165
648,0.64,0.696,0.766,1.698
648.5,1.19,1.255,1.509,2.294
649,1.544,1.595,2.015,2.754
649.5,1.779,1.832,2.378,3.119
650,1.925,1.953,2.468,3.251
650.5,1.944,1.944,2.443,3.197
651,1.698,1.652,2.205,2.976
651.5,1.306,1.207,1.803,2.68
652,0.922,0.774,1.424,2.373
652.5,0.673,0.502,1.118,2.101
653,0.598,0.379,0.983,1.915
653.5,0.484,0.269,0.882,1.651
654,0.259,0.104,0.562,1.311
654.5,-0.016,-0.054,0.267,0.933
655,-0.119,-0.027,0.068,0.804
655.5,-0.116,-0.038,-0.025,0.674
656,-0.134,0.005,0.026,0.704
656.5,-0.253,-0.035,0.137,0.829
657,-0.41,-0.242,0.049,0.805
657.5,-0.551,-0.443,-0.06,0.768
658,-0.714,-0.638,-0.158,0.662
658.5,-0.797,-0.85,-0.172,0.551
659,-0.798,-1.003,-0.312,0.327
659.5,-0.755,-1.06,-0.39,0.099
660,-0.486,-0.833,-0.303,0.189
660.5,-0.135,-0.562,-0.111,0.346
661,0.23,-0.05,0.261,0.687
661.5,0.509,0.362,0.614,1.122
662,0.78,0.723,0.826,1.556
662.5,0.991,1.063,0.996,1.88
663,1.119,1.33,1.182,2.164
663.5,1.283,1.455,1.328,2.26
664,1.426,1.488,1.461,2.316
664.5,1.41,1.471,1.442,2.237
665,1.331,1.441,1.442,2.283
665.5,1.417,1.335,1.563,2.39
666,1.625,1.403,1.714,2.566
666.5,1.793,1.457,1.82,2.699
667,1.822,1.42,1.823,2.719
667.5,1.656,1.23,1.697,2.454
668,1.483,1.1,1.511,2.237
668.5,1.321,1.017,1.285,2.034
669,1.167,0.919,1.067,1.923
669.5,0.687,0.489,0.571,1.659
670,0.253,0.088,0.089,1.471
670.5,-0.086,-0.281,-0.172,1.26
671,-0.276,-0.463,-0.388,0.975
671.5,-0.394,-0.618,-0.58,0.659
672,-0.497,-0.738,-0.556,0.371
672.5,-0.301,-0.59,-0.316,0.29
673,-0.004,-0.136,0.146,0.567
673.5,0.36,0.346,0.646,1.021
674,0.763,0.724,1.111,1.498
674.5,0.812,0.692,1.148,1.671
675,0.747,0.597,1.027,1.651
675.5,0.326,0.267,0.632,1.341
676,-0.213,-0.311,0.094,0.8
676.5,-0.689,-0.745,-0.404,0.318
677,-0.916,-0.983,-0.664,0.008
677.5,-0.787,-0.907,-0.643,-0.018
678,-0.763,-0.801,-0.591,-0.033
678.5,-0.688,-0.651,-0.497,0.052
679,-0.434,-0.471,-0.302,0.153
679.5,-0.245,-0.327,-0.194,0.198
680,-0.027,-0.145,0.02,0.282
680.5,-0.111,-0.112,0.13,0.409
681,-0.208,-0.117,0.291,0.647
681.5,-0.169,0.135,0.706,1.165
682,-0.07,0.338,1.069,1.638
682.5,0.144,0.622,1.43,2.179
683,0.182,0.608,1.446,2.336
683.5,0.208,0.637,1.33,2.349
684,0.347,0.544,1.058,2.023
684.5,0.468,0.344,0.688,1.526
685,0.484,0.157,0.275,0.859
685.5,0.349,-0.033,-0.038,0.31
686,0.258,-0.204,-0.212,-0.007
686.5,0.047,-0.338,-0.29,-0.162
687,-0.159,-0.476,-0.269,-0.147
687.5,-0.257,-0.464,-0.117,0.201
688,-0.366,-0.566,0.003,0.506
688.5,-0.587,-0.66,0.121,0.776
689,-0.768,-0.753,0.159,0.937
689.5,-0.833,-0.792,0.223,0.924
690,-0.726,-0.636,0.291,0.9
690.5,-0.476,-0.361,0.512,0.978
691,-0.161,-0.091,0.665,1.086
691.5,0.096,0.175,0.743,1.176
692,0.301,0.293,0.812,1.156
692.5,0.37,0.252,0.615,1.156
693,0.243,0.048,0.38,1.083
693.5,-0.271,-0.496,-0.036,0.769
694,-0.708,-0.916,-0.366,0.39
694.5,-1.098,-1.268,-0.692,-0.079
695,-1.284,-1.374,-0.854,-0.404
695.5,-1.375,-1.443,-1.023,-0.703
696,-1.474,-1.536,-1.242,-1.016
696.5,-1.627,-1.675,-1.489,-1.42
697,-1.908,-1.969,-1.917,-1.966
697.5,-2.174,-2.329,-2.444,-2.373
698,-2.305,-2.456,-2.689,-2.416
698.5,-2.226,-2.467,-2.642,-2.241
699,-1.909,-2.166,-2.343,-1.776
699.5,-1.527,-1.812,-1.884,-1.163
700,-0.806,-1.036,-0.923,-0.181
700.5,0.096,-0.112,0.135,0.992
701,0.932,0.849,1.259,1.991
701.5,1.552,1.567,2.045,2.745
702,1.886,2.03,2.472,3.066
702.5,2.083,2.172,2.745,3.222
703,2.044,2.205,2.826,3.225
703.5,1.862,1.954,2.585,2.945
704,1.346,1.402,1.86,2.239
704.5,0.721,0.664,1.005,1.376
705,0.386,0.215,0.439,0.9
